Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Point/Counter: Should #pregnant women receive an #Ebola #vaccine despite WHO recommendations? https://t.co/oShs0za2gl @HopkinsMedicine @gumedcenter https://t.co/n91tAOpNly,24,92.84,95.20,1.79,25.77,12.00,41.67,45.83,16.67,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,4.17,4.17,0.00,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.83,4.17,0.00,4.17,0.00,8.33,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,58.33,8.33,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,41.67
"@thehill It is important to be educated about #flu symptoms &amp; #emergency warning signs. Certain groups of people are at greater risk of serious #influenza related complications. This includes #pregnant women &amp; people with certain chronic medical conditions https://t.co/KkiahYzxti #Vaccine",44,92.84,91.35,2.40,68.66,14.67,45.45,70.45,25.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,13.64,6.82,2.27,0.00,0.00,6.82,4.55,2.27,0.00,0.00,2.27,15.91,9.09,6.82,2.27,0.00,0.00,13.64,2.27,0.00,2.27,0.00,9.09,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,11.36,0.00,11.36,2.27,0.00,9.09,2.27,0.00,2.27,0.00,4.55,0.00,9.09,0.00,4.55,0.00,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,0.00,34.09,6.82,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,22.73
Not sure if you should get the #flu #vaccine? Have a little read of this thread 👇👇👇 thank you @LVehlewald &amp; good health to you &amp; yours. https://t.co/81pbgZm7fk,32,63.62,94.08,1.00,99.00,10.67,9.38,68.75,40.62,15.62,12.50,0.00,0.00,12.50,0.00,0.00,3.12,6.25,6.25,6.25,0.00,3.12,3.12,15.62,0.00,0.00,0.00,0.00,0.00,9.38,9.38,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,6.25,3.12,3.12,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,9.38,0.00,3.12,0.00,3.12,0.00,3.12,0.00,0.00,0.00,0.00,0.00,3.12,0.00,3.12,0.00,0.00,0.00,37.50,6.25,0.00,0.00,6.25,3.12,0.00,0.00,0.00,0.00,0.00,21.88
"Peak season for #flu season is usually around January and February. Everyone who is eligible should promptly get their flu #vaccine when they are called for immunisation, so they are protected in time: https://t.co/G5Em5h170Y #HelpUsHelpYou https://t.co/tUZn4P6jbx",44,25.90,91.35,31.94,25.77,22.00,27.27,70.45,40.91,11.36,6.82,0.00,0.00,0.00,0.00,6.82,4.55,0.00,9.09,11.36,9.09,6.82,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,6.82,0.00,6.82,0.00,0.00,4.55,0.00,0.00,0.00,2.27,2.27,2.27,11.36,0.00,20.45,0.00,4.55,15.91,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,6.82,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
"This thread.

Get your #FluShot, people. It doesn't just protect you. The more people get it, the harder it is for the #flu to spread in the population—even if the #vaccine is not 100% effective. 

If you have insurance, you can get it for free.
#VaccinesWork and save lives. https://t.co/4Vs4dnq8iZ",57,48.42,80.98,1.00,86.53,8.14,12.28,77.19,50.88,15.79,7.02,0.00,0.00,7.02,0.00,0.00,8.77,8.77,7.02,8.77,3.51,5.26,3.51,15.79,5.26,3.51,0.00,1.75,1.75,3.51,3.51,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,7.02,1.75,1.75,3.51,3.51,0.00,5.26,1.75,0.00,0.00,1.75,3.51,0.00,3.51,0.00,0.00,7.02,0.00,0.00,0.00,5.26,1.75,0.00,17.54,0.00,1.75,0.00,1.75,0.00,0.00,0.00,0.00,3.51,0.00,0.00,1.75,0.00,1.75,0.00,0.00,0.00,31.58,12.28,5.26,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,12.28
"#Shingles is an incredibly painful #disease; it's no surprise this #vaccine faces shortages. Have you been able to obtain one? @nytimes https://t.co/ZK5mAO7m3j",26,42.69,64.99,1.00,25.77,8.67,34.62,65.38,34.62,11.54,3.85,0.00,0.00,3.85,0.00,0.00,7.69,3.85,3.85,15.38,0.00,0.00,3.85,19.23,0.00,0.00,0.00,3.85,0.00,7.69,3.85,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,3.85,11.54,3.85,7.69,0.00,0.00,7.69,0.00,7.69,0.00,3.85,0.00,3.85,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,42.31,7.69,0.00,0.00,3.85,3.85,0.00,0.00,0.00,3.85,0.00,23.08
EMA recommends for approval the first #vaccine in the EU for the prevention of #dengue: https://t.co/Zg04twI8Mk #CHMP,21,99.00,68.29,2.82,95.81,21.00,23.81,57.14,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,4.76,4.76,0.00,4.76,0.00,0.00,0.00,9.52,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,33.33,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.81
"The fine against the Changchun Changsheng Biotechnology Company dwarfs previous penalties imposed on #vaccine makers embroiled in safety scandals.

https://t.co/56AC49xTZo",25,99.00,50.00,20.24,99.00,12.50,44.00,44.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,12.00,0.00,8.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,20.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
What is the History of #Influenza #Vaccine Use in America? - NVIC | @scoopit via @edrybicki https://t.co/Uz0F80ItLw,19,98.60,50.00,19.27,25.77,9.50,36.84,47.37,31.58,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,15.79,5.26,0.00,0.00,0.00,10.53,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,15.79,0.00,10.53,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,52.63,5.26,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,36.84
"This thread.

Get your #FluShot, people. It doesn't just protect you. The more people get it, the harder it is for the #flu to spread in the population—even if the #vaccine is not 100% effective. 

If you have insurance, you can get it for free.
#VaccinesWork and save lives. https://t.co/4Vs4dnq8iZ",57,48.42,80.98,1.00,86.53,8.14,12.28,77.19,50.88,15.79,7.02,0.00,0.00,7.02,0.00,0.00,8.77,8.77,7.02,8.77,3.51,5.26,3.51,15.79,5.26,3.51,0.00,1.75,1.75,3.51,3.51,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,7.02,1.75,1.75,3.51,3.51,0.00,5.26,1.75,0.00,0.00,1.75,3.51,0.00,3.51,0.00,0.00,7.02,0.00,0.00,0.00,5.26,1.75,0.00,17.54,0.00,1.75,0.00,1.75,0.00,0.00,0.00,0.00,3.51,0.00,0.00,1.75,0.00,1.75,0.00,0.00,0.00,31.58,12.28,5.26,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,12.28
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
"Peak season for #flu season is usually around January and February. Everyone who is eligible should promptly get their flu #vaccine when they are called for immunisation, so they are protected in time: https://t.co/G5Em5h170Y #HelpUsHelpYou https://t.co/tUZn4P6jbx",44,25.90,91.35,31.94,25.77,22.00,27.27,70.45,40.91,11.36,6.82,0.00,0.00,0.00,0.00,6.82,4.55,0.00,9.09,11.36,9.09,6.82,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,6.82,0.00,6.82,0.00,0.00,4.55,0.00,0.00,0.00,2.27,2.27,2.27,11.36,0.00,20.45,0.00,4.55,15.91,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,6.82,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
"#UCSD Research Focuses on Potential #CancerTherapy Personalized #Vaccine https://t.co/qXG4KnFSVC via @Trial Site 
#research #healthcare #cancer",19,98.60,50.00,19.27,25.77,19.00,47.37,47.37,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,15.79,0.00,15.79,0.00,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,52.63,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.37
"#MayoClinic Jacksonville #BreastCancer Vaccine Trial https://t.co/6HatX3LRo6 via @Trial Site News
#vaccine #clinicaltrials #healthcare",19,96.69,50.00,4.05,25.77,19.00,36.84,26.32,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.26,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,47.37,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.11
"#China FDA #Imposes Massive #Fine on #Vaccine Maker https://t.co/qVNqANzaCw via @Trial Site News
#healthcare #patientsafety #fda",20,98.46,50.00,43.37,96.76,20.00,30.00,35.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,55.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
Este documento es interesante: How to respond to vocal  #vaccine deniers in public #AEVSevilla https://t.co/nWI909UuMz https://t.co/HODsTd6ys6,24,96.08,79.76,1.00,25.77,24.00,33.33,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,37.50,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
We are proud to have partnered with @SerumInstIndia on the development of ROTASIIL. It is the first thermostable #rotavirus #vaccine to achieve @WHO pre-qualification. #DefeatDD #VaccinesWork https://t.co/hxrN7hF0iI,32,95.40,89.42,1.00,25.77,10.67,37.50,65.62,40.62,9.38,3.12,0.00,3.12,0.00,0.00,0.00,6.25,6.25,15.62,9.38,0.00,0.00,0.00,9.38,0.00,0.00,3.12,3.12,0.00,6.25,3.12,3.12,0.00,0.00,0.00,9.38,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,6.25,12.50,3.12,3.12,0.00,0.00,9.38,0.00,6.25,0.00,3.12,3.12,9.38,0.00,0.00,0.00,0.00,0.00,3.12,0.00,3.12,0.00,0.00,0.00,37.50,9.38,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,25.00
"This year marks 50 years since the first #measles containing vaccine was introduced into the UK childhood immunisation programme. Thanks to the #vaccine, an estimated 20 million measles cases and 4,500 deaths have been averted since 1968 in the UK: https://t.co/QiaZ1wLfrk https://t.co/hzqPLBvHk5",51,98.41,50.00,28.81,62.94,25.50,27.45,54.90,29.41,1.96,0.00,0.00,0.00,0.00,0.00,0.00,1.96,9.80,9.80,5.88,0.00,1.96,0.00,7.84,0.00,0.00,0.00,13.73,0.00,1.96,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.00,1.96,0.00,0.00,3.92,0.00,1.96,0.00,0.00,1.96,3.92,3.92,0.00,17.65,0.00,5.88,11.76,1.96,0.00,0.00,0.00,0.00,1.96,3.92,0.00,3.92,0.00,0.00,0.00,23.53,5.88,3.92,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76
"Peak season for #flu season is usually around January and February. Everyone who is eligible should promptly get their flu #vaccine when they are called for immunisation, so they are protected in time: https://t.co/G5Em5h170Y #HelpUsHelpYou https://t.co/tUZn4P6jbx",44,25.90,91.35,31.94,25.77,22.00,27.27,70.45,40.91,11.36,6.82,0.00,0.00,0.00,0.00,6.82,4.55,0.00,9.09,11.36,9.09,6.82,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,6.82,0.00,6.82,0.00,0.00,4.55,0.00,0.00,0.00,2.27,2.27,2.27,11.36,0.00,20.45,0.00,4.55,15.91,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,6.82,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91
"Peak season for #flu season is usually around January and February. Everyone who is eligible should promptly get their flu #vaccine when they are called for immunisation, so they are protected in time: https://t.co/G5Em5h170Y #HelpUsHelpYou https://t.co/tUZn4P6jbx",44,25.90,91.35,31.94,25.77,22.00,27.27,70.45,40.91,11.36,6.82,0.00,0.00,0.00,0.00,6.82,4.55,0.00,9.09,11.36,9.09,6.82,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,6.82,0.00,6.82,0.00,0.00,4.55,0.00,0.00,0.00,2.27,2.27,2.27,11.36,0.00,20.45,0.00,4.55,15.91,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,6.82,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91
"Peak season for #flu season is usually around January and February. Everyone who is eligible should promptly get their flu #vaccine when they are called for immunisation, so they are protected in time: https://t.co/G5Em5h170Y #HelpUsHelpYou https://t.co/tUZn4P6jbx",44,25.90,91.35,31.94,25.77,22.00,27.27,70.45,40.91,11.36,6.82,0.00,0.00,0.00,0.00,6.82,4.55,0.00,9.09,11.36,9.09,6.82,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,6.82,0.00,6.82,0.00,0.00,4.55,0.00,0.00,0.00,2.27,2.27,2.27,11.36,0.00,20.45,0.00,4.55,15.91,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,6.82,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91
